Human Timestamp,Unix Time,Microseconds,System Failure,Accelerometer Failure,Gyroscope Failure,Magnetometer Failure,Pressure Failure,GNSS Failure,Accelerometer Overrange,Gyroscope Overrange,Magnetometer Overrange,Pressure Overrange,Minimum Temperature,Maximum Temperature,Low Voltage,High Voltage,GNSS Antenna Disconnected,Data Overflow,Orientation Ready,Navigation Ready,Heading Ready,Time Ready,GNSS Fix Type,Event 1 Flag,Event 2 Flag,Internal GNSS Enabled,Magnetic Heading Enabled,Velocity Heading Enabled,Atmospheric Altitude Enabled,External Position Active,External Velocity Active,External Heading Active
Sat Apr 10 16:57:10 CST 2021,1618045030,299000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:11 CST 2021,1618045031,326000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:12 CST 2021,1618045032,347000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:13 CST 2021,1618045033,369000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:14 CST 2021,1618045034,396000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:15 CST 2021,1618045035,403000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:16 CST 2021,1618045036,413000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:17 CST 2021,1618045037,438000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:18 CST 2021,1618045038,473000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:19 CST 2021,1618045039,502000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:20 CST 2021,1618045040,511000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:21 CST 2021,1618045041,541000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:22 CST 2021,1618045042,571000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:23 CST 2021,1618045043,585000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:24 CST 2021,1618045044,625000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:25 CST 2021,1618045045,636000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:26 CST 2021,1618045046,666000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
